Var1,powerall_1,powerall_2,powerall_3,powerall_4,powerall_5,powerall_6,powerall_7,powerall_8,powerall_9,powerall_10,powerall_11,powerall_12,powerall_13,powerall_14,powerall_15,powerall_16,powerall_17,powerall_18,powerall_19,powerall_20,powerall_21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,16.1685171723487,16.4661461037958,16.8131858207798,17.5075509330556,17.7168316381166,17.9676754163784,17.8441017331141,19.323192049467,18.118537867908,19.4195810018468,20.4323816971597,20.7237516098066,20.1474069330799,21.1617004502992,21.8747218460501,23.4672917343559,21.818218817455,20.6432887384384,24.0386570575356,23.1167442779373,24.5511051227097
2000,28.6653479346031,30.3441680954673,32.0389252004523,32.2850267656332,32.9995711477072,33.0668236227978,33.242558556562,32.7471155978021,33.0392187414019,33.5739525532646,35.5989005032859,34.8098534432846,34.0970711589237,35.7244093183264,36.1819649293868,36.2065141827704,35.6766497181791,38.062194352256,40.0058398073436,40.5508164294674,41.6200715106029
3000,42.6478155256072,44.0826345270602,45.1671560047461,47.1336570587521,50.0963643115346,47.9952503339433,49.3620799777336,48.8767851075426,49.38269655516,49.7567039736497,50.2131541602628,49.6834574660888,50.5806463601985,51.6411781775853,49.3772896868559,48.9443050477416,49.6050224487578,54.4213480419177,53.7062799446178,54.1258724409386,54.4395758093172
4000,54.6784098284365,55.6807309486534,61.3873757205014,63.354840758079,62.6865904734672,64.9897122047511,65.320301830777,63.1252877387566,63.9457136127712,64.5759113565073,65.3801249927423,65.2305778999446,65.7780964843011,65.8908719070807,66.0692790148821,67.4870758505193,68.0244788635677,69.3415684522267,66.6134390008478,68.7383834065934,69.8370666971634
5000,67.3674072958908,72.8347721000964,77.6492248395701,74.8901528699948,77.9723502908901,78.8132604117977,79.4714561958654,81.2438603580317,83.7772442298173,80.5902985018445,80.2186821503015,84.8124529477765,84.9448758852379,80.8988567868673,80.4877892511668,84.1391159586266,84.5081562864869,84.729908961623,82.6735318708906,84.1894247548403,85.7522587520294
6000,80.2123949927872,87.1755596890701,84.5072886453695,90.0514608435708,91.8437271970244,100.312646550563,97.622189965804,98.915209389792,102.397770603689,96.9218121034173,94.7927056187013,96.4444375541261,97.8690268678847,104.089506528744,97.639378330543,99.9090805448162,98.2540936563349,100.05246838387,101.823572597243,100.402860978116,102.076861422403
7000,91.9030161671579,99.9079729574584,102.379505077447,102.284363511322,106.678688515856,108.530280179647,110.901627797297,108.027300990002,115.105542891393,114.711203738251,110.866754214016,112.836846795059,111.850769255497,115.347246029913,115.830312482109,117.134099829343,117.704083433017,119.37906076307,114.711129490151,119.050001535441,119.250864706802
8000,100.442703596579,113.257380634923,112.138072422118,116.341259562571,118.83943649059,123.236190954308,122.158694147083,122.068988097042,127.129285734426,125.088354022717,133.002201604985,132.402590084935,127.559105846616,128.929206295988,128.962818272715,129.448600306465,131.133239259453,133.105971979622,130.97241851299,131.936324970796,136.283607079603
9000,113.471693890601,118.673165093298,124.211382920627,130.205083636048,134.22244434643,132.160619467343,135.657042096634,139.228346316765,140.326568246919,138.520913377017,140.054135952191,142.53697928752,145.13487411861,151.884324802944,148.32519353232,143.809542497981,148.677107280632,149.38141157451,148.191963537242,144.228714613286,146.952857524268
