Var1,powerall_1,powerall_2,powerall_3,powerall_4,powerall_5,powerall_6,powerall_7,powerall_8,powerall_9,powerall_10,powerall_11,powerall_12,powerall_13,powerall_14,powerall_15,powerall_16,powerall_17,powerall_18,powerall_19,powerall_20,powerall_21,powerall_22,powerall_23,powerall_24,powerall_25,powerall_26,powerall_27,powerall_28,powerall_29,powerall_30,powerall_31,powerall_32,powerall_33,powerall_34,powerall_35,powerall_36,powerall_37,powerall_38,powerall_39,powerall_40,powerall_41,powerall_42,powerall_43,powerall_44,powerall_45,powerall_46,powerall_47,powerall_48,powerall_49,powerall_50,powerall_51,powerall_52,powerall_53,powerall_54,powerall_55,powerall_56,powerall_57,powerall_58,powerall_59,powerall_60,powerall_61,powerall_62,powerall_63,powerall_64,powerall_65,powerall_66,powerall_67,powerall_68,powerall_69,powerall_70,powerall_71,powerall_72,powerall_73,powerall_74,powerall_75,powerall_76,powerall_77,powerall_78,powerall_79,powerall_80,powerall_81,powerall_82,powerall_83,powerall_84,powerall_85,powerall_86,powerall_87,powerall_88,powerall_89,powerall_90,powerall_91,powerall_92,powerall_93,powerall_94,powerall_95,powerall_96,powerall_97,powerall_98,powerall_99,powerall_100,powerall_101
0,0,11.1168406245442,21.5844432768103,31.8682330463103,41.733052196283,51.5102411633836,60.2109573863484,68.6256213196226,77.5285374746167,85.6309342028826,93.5255252492115,100.980593787968,107.077597624762,112.631805859512,119.820282734977,125.604315051771,130.066597441849,135.461113110919,139.843503226262,144.104153762305,148.02219127631,151.882147512882,155.999244838345,159.076853581203,162.210671398493,163.092342565317,163.803707013535,169.826394864787,168.745708039913,170.794009411505,174.313589628482,174.659833319612,177.390992960412,178.453578017613,178.925891088326,181.569302710056,179.829346020107,180.836267305224,180.723487077859,182.192399570778,179.98916133166,177.957205595192,179.351549739742,180.992703247226,181.117123961775,179.967730676187,182.66025438215,179.088532423634,178.431487989606,177.223885430248,179.095697917355,178.119097533024,177.470751137997,176.212171348354,175.122643410719,176.108247945264,174.537885111232,173.674418809202,172.834982425742,167.600215536786,173.881852073661,169.118597984089,169.184680205437,168.892735120817,163.248722353539,162.319898785565,165.819272151492,166.258755383207,163.483702530156,162.65114452032,162.976343149895,160.973166395635,160.304668336363,158.715838659346,157.5523641765,152.729999145855,155.066246922452,154.295053867165,152.875709491718,152.72954036577,151.434031706269,153.736167419204,150.204720695922,148.884504953555,148.673839054191,146.506039260357,145.574302386838,144.912850567858,143.092637922843,145.613360215267,144.239919791909,140.986765201388,144.881355754657,139.443931657888,139.538504345218,137.610000531955,136.74531814273,132.494598948272,135.798149721711,134.689204628288,132.843677226545
1000,0.25834078553675,11.3751814100809,21.842784062347,32.1265738318471,41.9913929818197,51.7685819489204,60.4692981718851,68.8839621051593,77.7868782601535,85.8892749884194,93.7838660347482,101.238934573505,107.335938410299,112.890146645049,120.078623520513,125.862655837308,130.324938227386,135.719453896456,140.101844011799,144.362494547841,148.280532061846,152.140488298419,156.257585623882,159.33519436674,162.46901218403,163.350683350854,164.062047799072,170.084735650324,169.00404882545,171.052350197041,174.571930414019,174.918174105148,177.649333745948,178.71191880315,179.184231873862,181.827643495593,180.087686805644,181.094608090761,180.981827863396,182.450740356315,180.247502117196,178.215546380728,179.609890525279,181.251044032762,181.375464747312,180.226071461724,182.918595167687,179.346873209171,178.689828775143,177.482226215785,179.354038702892,178.37743831856,177.729091923533,176.470512133891,175.380984196256,176.3665887308,174.796225896769,173.932759594739,173.093323211279,167.858556322323,174.140192859197,169.376938769626,169.443020990974,169.151075906354,163.507063139076,162.578239571102,166.077612937029,166.517096168744,163.742043315693,162.909485305856,163.234683935432,161.231507181172,160.5630091219,158.974179444883,157.810704962037,152.988339931392,155.324587707989,154.553394652701,153.134050277255,152.987881151307,151.692372491806,153.99450820474,150.463061481459,149.142845739092,148.932179839728,146.764380045894,145.832643172375,145.171191353395,143.35097870838,145.871701000804,144.498260577446,141.245105986925,145.139696540193,139.702272443425,139.796845130755,137.868341317492,137.003658928266,132.752939733809,136.056490507248,134.947545413825,133.102018012082
2000,0.424656297412939,11.5414969219571,22.0090995742232,32.2928893437233,42.1577084936959,51.9348974607965,60.6356136837613,69.0502776170355,77.9531937720297,86.0555905002956,93.9501815466244,101.405250085381,107.502253922175,113.056462156925,120.244939032389,126.028971349184,130.491253739262,135.885769408332,140.268159523675,144.528810059718,148.446847573723,152.306803810295,156.423901135758,159.501509878616,162.635327695906,163.51699886273,164.228363310948,170.2510511622,169.170364337326,171.218665708917,174.738245925895,175.084489617025,177.815649257825,178.878234315026,179.350547385739,181.993959007469,180.25400231752,181.260923602637,181.148143375272,182.617055868191,180.413817629073,178.381861892605,179.776206037155,181.417359544638,181.541780259188,180.3923869736,183.084910679563,179.513188721047,178.856144287019,177.648541727661,179.520354214768,178.543753830437,177.895407435409,176.636827645767,175.547299708132,176.532904242677,174.962541408645,174.099075106615,173.259638723155,168.024871834199,174.306508371074,169.543254281502,169.60933650285,169.31739141823,163.673378650952,162.744555082978,166.243928448905,166.68341168062,163.908358827569,163.075800817733,163.400999447308,161.397822693048,160.729324633776,159.140494956759,157.977020473913,153.154655443268,155.490903219865,154.719710164578,153.300365789131,153.154196663183,151.858688003682,154.160823716617,150.629376993335,149.309161250968,149.098495351604,146.93069555777,145.998958684251,145.337506865271,143.517294220256,146.03801651268,144.664576089322,141.411421498801,145.30601205207,139.868587955301,139.963160642631,138.034656829368,137.169974440142,132.919255245685,136.222806019124,135.113860925701,133.268333523958
3000,0.551929463374712,11.6687700879189,22.136372740185,32.420162509685,42.2849816596577,52.0621706267583,60.7628868497231,69.1775507829973,78.0804669379914,86.1828636662573,94.0774547125862,101.532523251343,107.629527088137,113.183735322887,120.372212198351,126.156244515146,130.618526905224,136.013042574294,140.395432689637,144.656083225679,148.574120739684,152.434076976257,156.55117430172,159.628783044578,162.762600861868,163.644272028692,164.355636476909,170.378324328162,169.297637503288,171.345938874879,174.865519091857,175.211762782986,177.942922423786,179.005507480988,179.4778205517,182.121232173431,180.381275483482,181.388196768599,181.275416541234,182.744329034153,180.541090795034,178.509135058566,179.903479203117,181.5446327106,181.66905342515,180.519660139562,183.212183845525,179.640461887009,178.983417452981,177.775814893623,179.64762738073,178.671026996398,178.022680601371,176.764100811729,175.674572874094,176.660177408638,175.089814574607,174.226348272577,173.386911889116,168.152145000161,174.433781537035,169.670527447464,169.736609668812,169.444664584192,163.800651816914,162.87182824894,166.371201614867,166.810684846582,164.035631993531,163.203073983694,163.52827261327,161.52509585901,160.856597799738,159.267768122721,158.104293639875,153.28192860923,155.618176385827,154.846983330539,153.427638955093,153.281469829145,151.985961169644,154.288096882578,150.756650159297,149.43643441693,149.225768517566,147.057968723732,146.126231850213,145.464780031233,143.644567386218,146.165289678642,144.791849255284,141.538694664763,145.433285218031,139.995861121263,140.090433808593,138.16192999533,137.297247606104,133.046528411647,136.350079185086,135.241134091663,133.39560668992
4000,0.682018604578231,11.7988592291224,22.2664618813885,32.5502516508885,42.4150708008612,52.1922597679618,60.8929759909266,69.3076399242008,78.210556079195,86.3129528074609,94.2075438537897,101.662612392546,107.75961622934,113.31382446409,120.502301339555,126.286333656349,130.748616046428,136.143131715497,140.52552183084,144.786172366883,148.704209880888,152.56416611746,156.681263442924,159.758872185782,162.892690003071,163.774361169896,164.485725618113,170.508413469365,169.427726644491,171.476028016083,174.99560823306,175.34185192419,178.07301156499,179.135596622192,179.607909692904,182.251321314634,180.511364624686,181.518285909802,181.405505682437,182.874418175357,180.671179936238,178.63922419977,180.03356834432,181.674721851804,181.799142566353,180.649749280765,183.342272986729,179.770551028212,179.113506594185,177.905904034827,179.777716521933,178.801116137602,178.152769742575,176.894189952933,175.804662015297,176.790266549842,175.21990371581,174.35643741378,173.51700103032,168.282234141364,174.563870678239,169.800616588667,169.866698810015,169.574753725395,163.930740958117,163.001917390143,166.50129075607,166.940773987785,164.165721134734,163.333163124898,163.658361754473,161.655185000213,160.986686940941,159.397857263925,158.234382781078,153.412017750433,155.74826552703,154.977072471743,153.557728096296,153.411558970348,152.116050310848,154.418186023782,150.886739300501,149.566523558133,149.355857658769,147.188057864935,146.256320991416,145.594869172436,143.774656527422,146.295378819845,144.921938396488,141.668783805966,145.563374359235,140.125950262466,140.220522949797,138.292019136534,137.427336747308,133.17661755285,136.48016832629,135.371223232866,133.525695831123
5000,0.812300046523508,11.9291406710677,22.3967433233338,32.6805330928338,42.5453522428065,52.3225412099071,61.0232574328719,69.4379213661461,78.3408375211402,86.4432342494061,94.337825295735,101.792893834492,107.889897671285,113.444105906036,120.6325827815,126.416615098294,130.878897488373,136.273413157442,140.655803272785,144.916453808828,148.834491322833,152.694447559405,156.811544884869,159.889153627727,163.022971445017,163.904642611841,164.616007060058,170.638694911311,169.558008086437,171.606309458028,175.125889675006,175.472133366135,178.203293006935,179.265878064137,179.738191134849,182.38160275658,180.641646066631,181.648567351747,181.535787124383,183.004699617302,180.801461378183,178.769505641715,180.163849786266,181.805003293749,181.929424008299,180.78003072271,183.472554428674,179.900832470157,179.24378803613,178.036185476772,179.907997963878,178.931397579547,178.28305118452,177.024471394878,175.934943457243,176.920547991787,175.350185157755,174.486718855725,173.647282472265,168.41251558331,174.694152120184,169.930898030612,169.996980251961,169.70503516734,164.061022400063,163.132198832089,166.631572198016,167.07105542973,164.296002576679,163.463444566843,163.788643196418,161.785466442158,161.116968382887,159.52813870587,158.364664223024,153.542299192379,155.878546968976,155.107353913688,153.688009538241,153.541840412294,152.246331752793,154.548467465727,151.017020742446,149.696805000079,149.486139100715,147.318339306881,146.386602433362,145.725150614381,143.904937969367,146.425660261791,145.052219838433,141.799065247912,145.69365580118,140.256231704411,140.350804391742,138.422300578479,137.557618189253,133.306898994795,136.610449768235,135.501504674811,133.655977273069
6000,0.960218798074785,12.0770594226189,22.5446620748851,32.8284518443851,42.6932709943577,52.4704599614584,61.1711761844232,69.5858401176974,78.4887562726915,86.5911530009574,94.4857440472863,101.940812586043,108.037816422837,113.592024657587,120.780501533051,126.564533849846,131.026816239924,136.421331908994,140.803722024337,145.064372560379,148.982410074385,152.842366310957,156.95946363642,160.037072379278,163.170890196568,164.052561363392,164.76392581161,170.786613662862,169.705926837988,171.754228209579,175.273808426557,175.620052117686,178.351211758486,179.413796815688,179.8861098864,182.529521508131,180.789564818182,181.796486103299,181.683705875934,183.152618368853,180.949380129734,178.917424393267,180.311768537817,181.9529220453,182.07734275985,180.927949474262,183.620473180225,180.048751221709,179.391706787681,178.184104228323,180.05591671543,179.079316331098,178.430969936071,177.172390146429,176.082862208794,177.068466743338,175.498103909307,174.634637607277,173.795201223817,168.560434334861,174.842070871735,170.078816782164,170.144899003512,169.852953918892,164.208941151614,163.28011758364,166.779490949567,167.218974181282,164.443921328231,163.611363318394,163.93656194797,161.93338519371,161.264887134438,159.676057457421,158.512582974575,153.69021794393,156.026465720527,155.255272665239,153.835928289793,153.689759163845,152.394250504344,154.696386217278,151.164939493997,149.84472375163,149.634057852266,147.466258058432,146.534521184913,145.873069365933,144.052856720918,146.573579013342,145.200138589984,141.946983999463,145.841574552732,140.404150455963,140.498723143293,138.57021933003,137.705536940804,133.454817746347,136.758368519786,135.649423426363,133.80389602462
7000,1.10034219939267,12.2171828239368,22.6847854762029,32.968575245703,42.8333943956756,52.6105833627763,61.3112995857411,69.7259635190153,78.6288796740094,86.7312764022753,94.6258674486042,102.080935987361,108.177939824155,113.732148058905,120.920624934369,126.704657251164,131.166939641242,136.561455310312,140.943845425655,145.204495961697,149.122533475702,152.982489712275,157.099587037738,160.177195780596,163.311013597886,164.19268476471,164.904049212927,170.92673706418,169.846050239306,171.894351610897,175.413931827875,175.760175519004,178.491335159804,179.553920217006,180.026233287718,182.669644909449,180.9296882195,181.936609504617,181.823829277252,183.292741770171,181.089503531052,179.057547794584,180.451891939135,182.093045446618,182.217466161168,181.06807287558,183.760596581543,180.188874623027,179.531830188999,178.324227629641,180.196040116747,179.219439732416,178.571093337389,177.312513547747,176.222985610112,177.208590144656,175.638227310625,174.774761008594,173.935324625134,168.700557736179,174.982194273053,170.218940183482,170.28502240483,169.99307732021,164.349064552932,163.420240984958,166.919614350885,167.3590975826,164.584044729549,163.751486719712,164.076685349288,162.073508595027,161.405010535756,159.816180858739,158.652706375893,153.830341345248,156.166589121845,155.395396066557,153.97605169111,153.829882565163,152.534373905662,154.836509618596,151.305062895315,149.984847152948,149.774181253584,147.60638145975,146.674644586231,146.01319276725,144.192980122236,146.71370241466,145.340261991302,142.087107400781,145.981697954049,140.544273857281,140.638846544611,138.710342731348,137.845660342122,133.594941147665,136.898491921104,135.78954682768,133.944019425938
8000,1.23322194063795,12.3500625651821,22.8176652174482,33.1014549869483,42.9662741369209,52.7434631040216,61.4441793269863,69.8588432602605,78.7617594152547,86.8641561435206,94.7587471898494,102.213815728606,108.3108195654,113.86502780015,121.053504675615,126.837536992409,131.299819382487,136.694335051557,141.0767251669,145.337375702942,149.255413216948,153.11536945352,157.232466778983,160.310075521841,163.443893339131,164.325564505955,165.036928954173,171.059616805425,169.978929980551,172.027231352142,175.54681156912,175.893055260249,178.62421490105,179.686799958251,180.159113028964,182.802524650694,181.062567960745,182.069489245862,181.956709018497,183.425621511416,181.222383272298,179.19042753583,180.58477168038,182.225925187864,182.350345902413,181.200952616825,183.893476322788,180.321754364272,179.664709930244,178.457107370886,180.328919857993,179.352319473662,178.703973078634,177.445393288992,176.355865351357,177.341469885902,175.77110705187,174.90764074984,174.06820436638,168.833437477424,175.115074014299,170.351819924727,170.417902146075,170.125957061455,164.481944294177,163.553120726203,167.05249409213,167.491977323845,164.716924470794,163.884366460958,164.209565090533,162.206388336273,161.537890277001,159.949060599984,158.785586117138,153.963221086493,156.29946886309,155.528275807803,154.108931432356,153.962762306408,152.667253646907,154.969389359842,151.43794263656,150.117726894193,149.907060994829,147.739261200995,146.807524327476,146.146072508496,144.325859863481,146.846582155905,145.473141732547,142.219987142026,146.114577695295,140.677153598526,140.771726285856,138.843222472593,137.978540083367,133.72782088891,137.031371662349,135.922426568926,134.076899167183
9000,1.3892519621148,12.506092586659,22.9736952389251,33.2574850084251,43.1223041583978,52.8994931254984,61.6002093484632,70.0148732817374,78.9177894367315,87.0201861649974,94.9147772113263,102.369845750083,108.466849586877,114.021057821627,121.209534697091,126.993567013886,131.455849403964,136.850365073034,141.232755188377,145.493405724419,149.411443238425,153.271399474997,157.38849680046,160.466105543318,163.599923360608,164.481594527432,165.19295897565,171.215646826902,170.134960002028,172.183261373619,175.702841590597,176.049085281726,178.780244922526,179.842829979728,180.31514305044,182.958554672171,181.218597982222,182.225519267339,182.112739039974,183.581651532893,181.378413293774,179.346457557307,180.740801701857,182.38195520934,182.50637592389,181.356982638302,184.049506344265,180.477784385749,179.820739951721,178.613137392363,180.48494987947,179.508349495138,178.860003100111,177.601423310469,176.511895372834,177.497499907379,175.927137073347,175.063670771317,174.224234387857,168.989467498901,175.271104035775,170.507849946204,170.573932167552,170.281987082932,164.637974315654,163.70915074768,167.208524113607,167.648007345322,164.872954492271,164.040396482435,164.36559511201,162.36241835775,161.693920298478,160.105090621461,158.941616138615,154.11925110797,156.455498884567,155.684305829279,154.264961453833,154.118792327885,152.823283668384,155.125419381318,151.593972658037,150.27375691567,150.063091016306,147.895291222472,146.963554348953,146.302102529973,144.481889884958,147.002612177382,145.629171754024,142.376017163503,146.270607716772,140.833183620003,140.927756307333,138.99925249407,138.134570104844,133.883850910387,137.187401683826,136.078456590403,134.23292918866
